faceoff_won,time_since_faceoff,time_since_faceoff_F,time_since_faceoff_T,mean,se,lower,upper,time_variable
TRUE,83,0,83,0.00122935030494673,0.000126946144118031,0.000980535862475391,0.00147816474741807,t
TRUE,84,0,84,0.00118373007185113,0.000125174251104687,0.000938388539685947,0.00142907160401632,t
TRUE,85,0,85,0.00113663779150427,0.000124646953083662,0.000892329763460289,0.00138094581954824,t
TRUE,86,0,86,0.00109165590664174,0.000124965730843559,0.00084672307418836,0.00133658873909511,t
TRUE,87,0,87,0.00105195986528738,0.000125554396688201,0.00080587324777851,0.00129804648279626,t
TRUE,88,0,88,0.0010201858705863,0.00012590213845119,0.000773417679221964,0.00126695406195063,t
TRUE,89,0,89,0.000998423617266979,0.000125691470017545,0.000752068336032591,0.00124477889850137,t
TRUE,90,0,90,0.00098829172259827,0.00012483764088363,0.000743609946466355,0.00123297349873018,t
TRUE,91,0,91,0.000991047457292797,0.000123515419669316,0.000748957234740938,0.00123313767984466,t
TRUE,92,0,92,0.00100768866540652,0.000122246834791718,0.000768084869214748,0.00124729246159828,t
TRUE,93,0,93,0.00103901787829219,0.000122096046733926,0.000799709626693696,0.00127832612989069,t
TRUE,94,0,94,0.00108565240960711,0.000124935223802772,0.000840779370953676,0.00133052544826054,t
TRUE,95,0,95,0.0011479788388286,0.00013354280961176,0.000886234931989551,0.00140972274566765,t
TRUE,96,0,96,0.00122606719689508,0.000151126283647703,0.00092985968094558,0.00152227471284458,t
TRUE,97,0,97,0.00131958088030633,0.00018031662528163,0.000966160294754335,0.00167300146585832,t
TRUE,98,0,98,0.00142774193132341,0.0002225161880017,0.000991610202840074,0.00186387365980674,t
TRUE,99,0,99,0.001549432836468,0.000278104023315405,0.00100434895076981,0.00209451672216619,t
TRUE,100,0,100,0.00168352730494301,0.000347026515769834,0.00100335533403414,0.00236369927585189,t
